year,selling_price,km_driven,fuel,seller_type,transmission,owner,brands,models
2017,1025000.0,9000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Other
2017,2675000.0,6500.0,Diesel,Dealer,Automatic,First Owner,Mercedes-Benz,Other
2015,750000.0,70000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2013,600000.0,120000.0,Diesel,Individual,Manual,First Owner,Renault,Other
2007,80000.0,58000.0,Petrol,Dealer,Manual,Second Owner,Hyundai,Hyundai Santro Xing
2013,325000.0,62200.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2014,1470000.0,34000.0,Diesel,Dealer,Automatic,Second Owner,Audi,Other
2015,350000.0,53000.0,Diesel,Individual,Manual,Second Owner,Fiat,Other
2013,2675000.0,49000.0,Diesel,Dealer,Automatic,First Owner,Audi,Other
2017,210000.0,15000.0,Petrol,Dealer,Manual,Second Owner,Datsun,Other
2013,450000.0,50000.0,Petrol,Individual,Manual,First Owner,Volkswagen,Other
2013,1150000.0,53000.0,Diesel,Dealer,Automatic,First Owner,Audi,Other
2009,210000.0,63500.0,Petrol,Dealer,Automatic,First Owner,Honda,Other
2018,2675000.0,9800.0,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,Other
2017,2675000.0,13000.0,Diesel,Individual,Automatic,First Owner,BMW,Other
2018,1975000.0,21000.0,Diesel,Dealer,Automatic,First Owner,Others,Other
2008,175000.0,29173.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2012,2500000.0,48000.0,Diesel,Dealer,Automatic,First Owner,BMW,Other
2017,628000.0,120000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2010,600000.0,100000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2017,399000.0,30000.0,Petrol,Individual,Manual,First Owner,Nissan,Other
2018,750000.0,87000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2019,750000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2017,315000.0,16000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2012,600000.0,60000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2010,100000.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Wagon R
2011,250000.0,110000.0,Petrol,Individual,Manual,Third Owner,Maruti,Other
2017,350000.0,25000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2016,780000.0,60000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2014,434000.0,79350.0,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
2016,690000.0,80000.0,Petrol,Individual,Automatic,First Owner,Hyundai,Hyundai Verna 1.6
2014,555000.0,90000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2007,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2014,500000.0,120000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2013,165000.0,60000.0,Diesel,Individual,Manual,Second Owner,Chevrolet,Chevrolet Beat Diesel
2004,95000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2018,550000.0,20000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2007,100000.0,110000.0,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Other
2012,100000.0,50000.0,Petrol,Individual,Manual,Second Owner,Tata,Other
2012,500000.0,100000.0,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
2016,800000.0,70000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2016,840000.0,70000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Other
2016,490000.0,50000.0,Petrol,Individual,Manual,First Owner,Honda,Other
2010,125000.0,81000.0,Diesel,Individual,Manual,Second Owner,Tata,Tata Indica Vista
2012,400000.0,120000.0,Diesel,Individual,Manual,Third Owner,Chevrolet,Other
2015,1000000.0,3600.0,Diesel,Dealer,Manual,First Owner,Chevrolet,Other
2015,530000.0,14272.0,Petrol,Dealer,Manual,First Owner,Ford,Other
2017,840000.0,49213.0,Diesel,Dealer,Manual,First Owner,Ford,Ford EcoSport 1.5
2015,229999.0,40000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
1998,40000.0,40000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Other
2012,130000.0,80000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2015,200000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai EON Era
2011,120000.0,70000.0,Diesel,Individual,Manual,First Owner,Tata,Tata Indica Vista
2003,75000.0,57000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2016,250000.0,120000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2005,100000.0,30000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti 800 AC
2013,280000.0,3240.0,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai EON Era
2015,540000.0,5000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2018,700000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2015,525000.0,100000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2016,430000.0,80000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2002,65000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2018,800000.0,35000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2007,75000.0,114000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Santro Xing
2008,210000.0,53772.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2012,195000.0,140000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2015,400000.0,120000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Other
2012,170000.0,60000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2016,225000.0,25000.0,Petrol,Individual,Manual,First Owner,Renault,Other
2014,210000.0,90000.0,LPG,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2020,240000.0,120000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2015,300000.0,175000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Other
2011,99000.0,100000.0,Petrol,Individual,Manual,Third Owner,Chevrolet,Other
2014,620000.0,36000.0,Petrol,Individual,Manual,First Owner,Honda,Other
2013,500000.0,30000.0,Diesel,Individual,Manual,First Owner,Honda,Other
2010,2550000.0,40000.0,Petrol,Individual,Automatic,Second Owner,Others,Other
2013,260000.0,70000.0,Petrol,Individual,Manual,Second Owner,Honda,Other
2017,550000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2011,150000.0,155500.0,Diesel,Individual,Manual,First Owner,Tata,Other
2011,350000.0,50000.0,Petrol,Individual,Automatic,Second Owner,Hyundai,Other
2016,320000.0,40000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2015,400000.0,100000.0,Diesel,Individual,Manual,Third Owner,Maruti,Maruti Swift VDI
2012,175000.0,80000.0,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Alto LXi
2011,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,Chevrolet,Other
2013,320000.0,90000.0,Diesel,Individual,Manual,Second Owner,Renault,Other
2006,70000.0,110000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Santro Xing
2019,810000.0,15000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2007,95000.0,100000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti 800 AC
2020,282000.0,40000.0,CNG,Individual,Manual,First Owner,Maruti,Maruti Alto K10
2004,80000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2013,72000.0,25000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2016,600000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2015,640000.0,23000.0,Petrol,Individual,Manual,First Owner,Skoda,Other
2018,380000.0,22155.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto K10
2018,650000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2009,150000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
2009,280000.0,110000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2018,430000.0,30000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2019,800000.0,15000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2003,75000.0,100000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2016,650000.0,70000.0,Diesel,Individual,Automatic,First Owner,Volkswagen,Other
2017,390000.0,24000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2005,100000.0,120000.0,Petrol,Individual,Manual,Second Owner,Honda,Other
2013,1500000.0,35000.0,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,Other
2007,175000.0,78380.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2012,434999.0,110000.0,Diesel,Individual,Manual,Second Owner,Renault,Other
2010,170000.0,90000.0,Diesel,Individual,Manual,Third Owner,Ford,Ford Figo Diesel
2011,190000.0,90000.0,Diesel,Individual,Manual,Third Owner,Ford,Ford Figo Diesel
2009,250000.0,150000.0,Diesel,Individual,Manual,Third Owner,Maruti,Maruti Swift Dzire
2009,229999.0,223158.4,Diesel,Individual,Manual,Third Owner,Mahindra,Other
2006,140000.0,70000.0,Petrol,Individual,Manual,Third Owner,Maruti,Other
2017,600000.0,80362.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
2012,280000.0,110000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Other
2012,150000.0,60000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
2015,650000.0,50000.0,Diesel,Individual,Automatic,First Owner,Chevrolet,Other
2014,210000.0,40000.0,Petrol,Individual,Manual,Second Owner,Nissan,Other
2017,2675000.0,40000.0,Diesel,Individual,Automatic,First Owner,BMW,Other
2013,425000.0,20000.0,Diesel,Dealer,Manual,First Owner,Chevrolet,Other
2014,265000.0,55000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai EON Era
2018,890000.0,1136.0,Petrol,Dealer,Manual,First Owner,Fiat,Other
2013,365000.0,55000.0,Petrol,Dealer,Manual,First Owner,Renault,Other
2014,350000.0,43000.0,Petrol,Dealer,Manual,First Owner,Ford,Other
2016,685000.0,60000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2018,940000.0,2650.0,Diesel,Dealer,Manual,First Owner,Skoda,Other
2017,1000000.0,40000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2019,1150000.0,15000.0,Petrol,Dealer,Manual,First Owner,Mahindra,Other
2016,450000.0,115962.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2015,590000.0,65000.0,Diesel,Dealer,Manual,First Owner,Nissan,Other
2017,800000.0,40000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2012,385000.0,58000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2013,2000000.0,15000.0,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,Other
2012,235000.0,54000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai EON Era
2017,640000.0,56000.0,Diesel,Dealer,Manual,First Owner,Volkswagen,Other
2006,52000.0,120000.0,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Alto LX
2009,80000.0,90000.0,LPG,Individual,Manual,Second Owner,Maruti,Other
2012,140000.0,70000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
2008,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2008,89999.0,213000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2012,180000.0,120000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Other
2017,1500000.0,20000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2017,700000.0,10000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2012,285000.0,80000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2015,390000.0,90000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2008,125000.0,80000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
2008,225000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2011,175000.0,139000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2011,1075000.0,160000.0,Diesel,Individual,Manual,Second Owner,Toyota,Toyota Innova 2.5
2014,300000.0,150000.0,Diesel,Individual,Manual,First Owner,Honda,Other
2010,700000.0,163000.0,Diesel,Individual,Manual,Fourth & Above Owner,Toyota,Toyota Innova 2.5
2009,90000.0,120000.0,Diesel,Dealer,Manual,First Owner,Tata,Other
2011,120000.0,120000.0,Diesel,Individual,Manual,Second Owner,Tata,Tata Indica Vista
2012,220000.0,100000.0,Diesel,Individual,Manual,Second Owner,Chevrolet,Chevrolet Beat Diesel
2015,300000.0,140000.0,Diesel,Dealer,Manual,First Owner,Tata,Other
2010,180000.0,87000.0,Diesel,Dealer,Manual,Second Owner,Skoda,Other
2013,170000.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2015,300000.0,50000.0,Petrol,Individual,Manual,Second Owner,Ford,Other
2014,1050000.0,70000.0,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
2018,465000.0,25000.0,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2011,130000.0,80000.0,Diesel,Individual,Manual,Second Owner,Chevrolet,Chevrolet Beat Diesel
2018,434999.0,10000.0,Petrol,Individual,Manual,First Owner,Datsun,Other
2018,500000.0,32000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2018,200000.0,10000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,625000.0,52000.0,Petrol,Dealer,Manual,First Owner,Maruti,Other
2006,110000.0,120000.0,Diesel,Individual,Manual,Third Owner,Ford,Other
2019,800000.0,11240.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2017,490000.0,66000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Hyundai Grand i10
2017,880000.0,64000.0,Diesel,Dealer,Manual,First Owner,Maruti,Other
2013,290000.0,49000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Santro Xing
2006,115999.0,100000.0,Diesel,Individual,Manual,Second Owner,Tata,Other
2018,360000.0,26500.0,Petrol,Individual,Manual,First Owner,Renault,Other
2002,65000.0,100000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti 800 AC
2017,685000.0,72000.0,Diesel,Dealer,Manual,First Owner,Maruti,Other
2009,300000.0,50000.0,Petrol,Individual,Manual,First Owner,Honda,Other
2017,680000.0,44000.0,Diesel,Dealer,Manual,First Owner,Hyundai,Other
2017,1000000.0,60000.0,Diesel,Individual,Manual,Second Owner,Maruti,Other
2002,100000.0,120000.0,Diesel,Individual,Manual,First Owner,Tata,Other
2010,160000.0,130000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2017,450000.0,70000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2014,600000.0,20000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2009,180000.0,60000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Other
2007,100000.0,195000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LXi
2010,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LXi
2006,130000.0,80000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Other
2011,160000.0,155000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
2019,860000.0,35000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2018,650000.0,20000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2010,100000.0,80000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2017,282000.0,20000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2009,300000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2010,270000.0,110000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2013,550000.0,29000.0,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Verna 1.6
2013,450000.0,120000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2011,430000.0,70000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2013,350000.0,40000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2017,350000.0,20000.0,Petrol,Individual,Manual,First Owner,Honda,Other
2013,229999.0,50000.0,Petrol,Individual,Manual,Second Owner,Toyota,Other
2013,110000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
2012,395000.0,49000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
2011,650000.0,70000.0,Diesel,Individual,Automatic,Second Owner,Mahindra,Other
2011,350000.0,90000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Other
2020,1400000.0,25000.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2018,360000.0,4000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2018,1300000.0,10000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2015,800000.0,15000.0,Diesel,Individual,Manual,First Owner,Renault,Other
2018,229999.0,30000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2014,315000.0,41000.0,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Wagon R
2012,125000.0,28000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2019,700000.0,16000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2015,160000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2017,530000.0,10832.0,Petrol,Dealer,Manual,First Owner,Ford,Other
2018,624000.0,14681.0,Diesel,Dealer,Manual,First Owner,Ford,Other
2009,250000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2016,585000.0,51000.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2015,500000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Other
2014,350000.0,30000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Other
2014,495000.0,80000.0,Diesel,Dealer,Manual,First Owner,Honda,Other
2017,500000.0,50000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2015,430000.0,200000.0,Diesel,Individual,Manual,First Owner,Mahindra,Other
2013,345000.0,44000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai Grand i10
2015,500000.0,10000.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2019,425000.0,19600.0,Petrol,Individual,Manual,First Owner,Tata,Other
2005,80000.0,40000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2011,106000.0,50000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
2009,180000.0,46730.0,Petrol,Individual,Manual,First Owner,Maruti,Other
2015,250000.0,40000.0,Petrol,Individual,Manual,Second Owner,Datsun,Other
2011,350000.0,80000.0,Diesel,Individual,Manual,First Owner,Skoda,Other
2002,60000.0,80000.0,Petrol,Individual,Manual,Second Owner,Maruti,Other
2018,900000.0,24000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2017,700000.0,21170.0,Diesel,Dealer,Manual,First Owner,Ford,Other
2013,2000000.0,167223.0,Diesel,Dealer,Automatic,First Owner,BMW,Other
2017,1000000.0,40000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2011,1375000.0,60000.0,Diesel,Individual,Automatic,First Owner,BMW,Other
2016,1800000.0,141440.0,Diesel,Dealer,Manual,First Owner,Toyota,Other
2007,160000.0,120000.0,Diesel,Individual,Manual,Third Owner,Chevrolet,Other
2012,525000.0,140000.0,Petrol,Individual,Automatic,First Owner,Others,Other
2012,850000.0,212814.0,Diesel,Dealer,Manual,First Owner,Mahindra,Other
2019,800000.0,30000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
2017,700000.0,88635.0,Diesel,Dealer,Manual,First Owner,Ford,Other
2018,800000.0,25000.0,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
2017,575000.0,20000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Other
2012,350000.0,110000.0,Diesel,Individual,Manual,Second Owner,Renault,Other
2008,250000.0,120000.0,Diesel,Individual,Manual,Third Owner,Maruti,Other
2011,600000.0,149674.0,Diesel,Dealer,Manual,Second Owner,Ford,Other
2007,370000.0,100000.0,Diesel,Individual,Manual,Third Owner,Mahindra,Other
2006,80000.0,120000.0,Petrol,Individual,Manual,Third Owner,Maruti,Other
2003,50000.0,120000.0,Diesel,Individual,Manual,Second Owner,Tata,Other
2018,900000.0,25000.0,Diesel,Individual,Manual,First Owner,Hyundai,Other
2014,300000.0,35000.0,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
2002,125000.0,40000.0,Petrol,Individual,Manual,First Owner,Tata,Other
2015,490000.0,60000.0,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
2012,300000.0,50000.0,Diesel,Individual,Manual,Second Owner,Toyota,Other
2013,55000.0,25000.0,Petrol,Individual,Manual,Fourth & Above Owner,Tata,Other
2016,350000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2019,755000.0,8000.0,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
2017,720000.0,60000.0,Diesel,Individual,Manual,First Owner,Maruti,Other
